row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,
Chăn nuôi Bảo Ngọc,Trả trước cho người bán ngắn hạn > Chăn nuôi Bảo Ngọc,Chăn nuôi Bảo Ngọc,Tạm ứng thuê trại,2.238.000.000,-,,2238000000.0,
Anh Vũ Phú Yên,Trả trước cho người bán ngắn hạn > Anh Vũ Phú Yên,Anh Vũ Phú Yên,Trả trước tiền mua hàng hóa,1.383.835.277,-,,1383835277.0,
Chăn nuôi Kim Hội,Trả trước cho người bán ngắn hạn > Chăn nuôi Kim Hội,Chăn nuôi Kim Hội,Tạm ứng thuê trại,428.422.274,-,,428422274.0,
Siba Tech,Trả trước cho người bán ngắn hạn > Siba Tech,Siba Tech,Trả trước tiền mua hàng hóa,408.540.000,903.096.322,,408540000.0,903096322.0
,,,,4.458.797.551,903.096.322,,4458797551.0,903096322.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,
BAF Myanmar,Phải thu ngắn hạn khác > BAF Myanmar,BAF Myanmar,Phải thu từ đầu tư,19.640.362.522,19.640.362.522,,19640362522.0,19640362522.0
Bắc An Khánh,Phải thu ngắn hạn khác > Bắc An Khánh,Bắc An Khánh,Lãi cho vay,6.763.425.286,5.152.209.945,,6763425286.0,5152209945.0
Anh Vũ Phú Yên,Phải thu ngắn hạn khác > Anh Vũ Phú Yên,Anh Vũ Phú Yên,Lãi cho vay,5.403.723.288,1.554.772.603,,5403723288.0,1554772603.0
Trang Trại Xanh 1,Phải thu ngắn hạn khác > Trang Trại Xanh 1,Trang Trại Xanh 1,Lãi cho vay,4.910.400.000,1.779.983.561,,4910400000.0,1779983561.0
Chăn nuôi Minh Thành,Phải thu ngắn hạn khác > Chăn nuôi Minh Thành,Chăn nuôi Minh Thành,Lãi cho vay,3.279.651.844,2.850.728.668,,3279651844.0,2850728668.0
Đông An Khánh,Phải thu ngắn hạn khác > Đông An Khánh,Đông An Khánh,Lãi cho vayKhác,2.278.406.4662.387.845.000,-2.387.845.000,,2.2784064662387843e+19,-2387845000.0
Chăn nuôi Bảo Ngọc,Phải thu ngắn hạn khác > Chăn nuôi Bảo Ngọc,Chăn nuôi Bảo Ngọc,Lãi cho vay,2.705.629.699,1.131.558.268,,2705629699.0,1131558268.0
Nam An Khánh,Phải thu ngắn hạn khác > Nam An Khánh,Nam An Khánh,Lãi cho vay,2.271.912.330,222.147.945,,2271912330.0,222147945.0
Trang Trại Xanh 2,Phải thu ngắn hạn khác > Trang Trại Xanh 2,Trang Trại Xanh 2,Lãi cho vay,593.133.698,-,,593133698.0,
Hải Đăng Tây Ninh,Phải thu ngắn hạn khác > Hải Đăng Tây Ninh,Hải Đăng Tây Ninh,Lãi cho vay,256.438.355,256.438.355,,256438355.0,256438355.0
Thiên Phú Sơn,Phải thu ngắn hạn khác > Thiên Phú Sơn,Thiên Phú Sơn,Lãi cho vay,157.939.726,-,,157939726.0,
TỔNG CỘNG,Phải thu ngắn hạn khác > TỔNG CỘNG,TỔNG CỘNG,,50.648.868.214,34.976.046.867,,50648868214.0,34976046867.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,
Chăn nuôi Kim Hội,Phải thu dài hạn khác > Chăn nuôi Kim Hội,Chăn nuôi Kim Hội,Đặt cọc,11.280.000.000,11.280.000.000,,11280000000.0,11280000000.0
Chăn nuôi Bảo Ngọc,Phải thu dài hạn khác > Chăn nuôi Bảo Ngọc,Chăn nuôi Bảo Ngọc,Đặt cọc,2.800.000.000,-,,2800000000.0,
TỔNG CỘNG,Phải thu dài hạn khác > TỔNG CỘNG,TỔNG CỘNG,,14.080.000.000,11.280.000.000,,14080000000.0,11280000000.0
