row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,
Hà An,Phải thu ngắn hạn của khách hàng > Hà An,Hà An,Cung cấp dịch vụ BĐS,2.623.099.961,271.099.961,,2623099961.0,271099961.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,
Bất động sản Tulip,Trả trước cho người bán ngắn hạn > Bất động sản Tulip,Bất động sản Tulip,Trả trước mua phần mềm,313.000.000,313.000.000,,313000000.0,313000000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,
Đất Xanh Nam Trung Bộ,Phải thu ngắn hạn khác > Đất Xanh Nam Trung Bộ,Đất Xanh Nam Trung Bộ,Vốn góp theo HĐHTKD,98.913.184.000,99.913.184.000,,98913184000.0,99913184000.0
Nguyễn Trường Sơn,Phải thu ngắn hạn khác > Nguyễn Trường Sơn,Nguyễn Trường Sơn,Tạm ứng,7.014.000.000,7.039.000.000,,7014000000.0,7039000000.0
Dầu khí Nha Trang,Phải thu ngắn hạn khác > Dầu khí Nha Trang,Dầu khí Nha Trang,Lãi cho vay,36.402.890,36.402.890,,36402890.0,36402890.0
Bên liên quan khác,Phải thu ngắn hạn khác > Bên liên quan khác,Bên liên quan khác,Khác,-,33.123.726,,,33123726.0
,,,,105.963.586.890,107.021.710.616,,105963586890.0,107021710616.0
