row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,VNDNăm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
Hà Thuận Hùng,Hà Thuận Hùng,Hà Thuận Hùng,Vay,159.000.000.000,-,,159000000000.0,
Hà Thuận Hùng,Hà Thuận Hùng,Hà Thuận Hùng,Thanh toán lãi vay,20.000.000.000,-,,20000000000.0,
Hà Thuận Hùng,Hà Thuận Hùng,Hà Thuận Hùng,Lãi vay,2.130.821.918,-,,2130821918.0,
Hà Thuận Hùng,Hà Thuận Hùng,Hà Thuận Hùng,Thu hồi tiền lãi cho vay,33.103.726,-,,33103726.0,
Đất Xanh Miền Nam,Đất Xanh Miền Nam,Đất Xanh Miền Nam,Cán trừ công nợ,7.883.744.458,-,,7883744458.0,
DXI,DXI,DXI,Thanh toán công nợ,3.306.974.533,-,,3306974533.0,
Vicco Saigon,Vicco Saigon,Vicco Saigon,Tiền thuê văn phòng,2.566.070.280,2.566.070.280,,2566070280.0,2566070280.0
Asahi,Asahi,Asahi,Phí dịch vụ quản lý,1.770.916.418,-,,1770916418.0,
Công nghệ Ihouzz,Công nghệ Ihouzz,Công nghệ Ihouzz,Phí cung cấp phần mềm,1.542.802.201,831.148.431,,1542802201.0,831148431.0
Công nghệ Ihouzz,Công nghệ Ihouzz,Công nghệ Ihouzz,Cán trừ công nợ,-,10.000.000.000,,,10000000000.0
Địa ốc Nam Trung Bộ,Địa ốc Nam Trung Bộ,Địa ốc Nam Trung Bộ,Thu hồi góp vốn,1.000.000.000,1.000.000.000,,1000000000.0,1000000000.0
Đất Xanh Tech,Đất Xanh Tech,Đất Xanh Tech,Góp vốn,660.000.000,-,,660000000.0,
Athena,Athena,Athena,Góp vốn,320.000.000,-,,320000000.0,
Đất Xanh Miền Đông,Đất Xanh Miền Đông,Đất Xanh Miền Đông,Cán trừ công nợ,500.000.000,-,,500000000.0,
Đất Xanh Commercial,Đất Xanh Commercial,Đất Xanh Commercial,Phí dịch vụ môi giới,51.686.250,-,,51686250.0,
Patheon,Patheon,Patheon,Góp vốn,50.000.000,-,,50000000.0,
Lương Trí Thín,Lương Trí Thín,Lương Trí Thín,Hoàn tiền đi vay,-,180.000.000.000,,,180000000000.0
Lương Trí Thín,Lương Trí Thín,Lương Trí Thín,Vay,-,30.000.000.000,,,30000000000.0
Lương Trí Thín,Lương Trí Thín,Lương Trí Thín,Thanh toán lãi vay,-,5.253.352.559,,,5253352559.0
Lương Trí Thín,Lương Trí Thín,Lương Trí Thín,Lãi vay,-,3.119.826.966,,,3119826966.0
Phước Sơn,Phước Sơn,Phước Sơn,Hoàn tiền ứng trước,-,150.750.000.000,,,150750000000.0
Phước Sơn,Phước Sơn,Phước Sơn,Thanh toán lãi vay,-,64.800.000.000,,,64800000000.0
BĐS Đồng Nai,BĐS Đồng Nai,BĐS Đồng Nai,Hoàn tiền ứng trước,-,140.325.000.000,,,140325000000.0
BĐS Đồng Nai,BĐS Đồng Nai,BĐS Đồng Nai,Cán trừ công nợ,-,25.500.000.000,,,25500000000.0
Thăng Long Pertro,Thăng Long Pertro,Thăng Long Pertro,Hoàn trả tiền vốn hợp tác,-,112.489.220.930,,,112489220930.0
Hội An Invest,Hội An Invest,Hội An Invest,Thanh toán lãi vay,-,77.518.422.226,,,77518422226.0
Hội An Invest,Hội An Invest,Hội An Invest,Thanh toán phát vi phạm hợp đồng,-,14.985.780.000,,,14985780000.0
