row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,
Ha An,Phải trả người bán ngắn hạn > Ha An,Ha An,Cấn trừ công nợ,319.725.996.857,-,,319725996857.0,
Ha An,Phải trả người bán ngắn hạn > Ha An,Ha An,Phí môi giới,44.360.290.480,-,,44360290480.0,
DXS,Phải trả người bán ngắn hạn > DXS,DXS,Cấn trừ công nợ,155.093.497.702,-,,155093497702.0,
DXS,Phải trả người bán ngắn hạn > DXS,DXS,Dịch vụ BĐS,30.000.000,271.278.468,,30000000.0,271278468.0
Asahi,Phải trả người bán ngắn hạn > Asahi,Asahi,Phí dịch vụ quản lý,569.176.108,-,,569176108.0,
Bên liên quan khác,Phải trả người bán ngắn hạn > Bên liên quan khác,Bên liên quan khác,Phí thuê xe,55.500.000,135.446.666,,55500000.0,135446666.0
,,,,519.834.461.147,406.725.134,,519834461147.0,406725134.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,,,
Hà Thuận Hùng,Chi phí phải trả ngắn hạn > Hà Thuận Hùng,Hà Thuận Hùng,Lãi vay,2.130.821.918,-,,2130821918.0,
Hà An,Chi phí phải trả ngắn hạn > Hà An,Hà An,Lãi vay,1.104.547.699,13.857.659.074,,1104547699.0,13857659074.0
,,,,3.235.369.617,13.857.659.074,,3235369617.0,13857659074.0
