row_label_raw,row_label_full,Bên vay,Số cuối năm VND,Ngày đáo hạn,Lãi suất %/năm,numeric__Số cuối năm VND,numeric__Ngày đáo hạn,numeric__Lãi suất %/năm
Cá nhân 1,Cá nhân 1,Cá nhân 1,,,,,,
Khoản vay 1,Cá nhân 1 > Khoản vay 1,Khoản vay 1,39.518.248.580,Ngày 22 tháng 4 năm 2024,"6,0%",39518248580.0,,0.06
Cá nhân 2,Cá nhân 2,Cá nhân 2,,,,,,
Khoản vay 1,Cá nhân 2 > Khoản vay 1,Khoản vay 1,17.500.000.000,Ngày 30 tháng 4 năm 2024,"9,2%",17500000000.0,,0.092
Khoản vay 2,Cá nhân 2 > Khoản vay 2,Khoản vay 2,12.500.000.000,Ngày 22 tháng 4 năm 2024,"9,2%",12500000000.0,,0.092
,,,30.000.000.000,,,30000000000.0,,
Cá nhân 3,Cá nhân 3,Cá nhân 3,,,,,,
Khoản vay 1,Cá nhân 3 > Khoản vay 1,Khoản vay 1,15.230.004.170,Ngày 30 tháng 4 năm 2024,"6,0%",15230004170.0,,0.06
Khoản vay 2,Cá nhân 3 > Khoản vay 2,Khoản vay 2,7.040.960.000,Ngày 22 tháng 4 năm 2024,"6,0%",7040960000.0,,0.06
,,,22.270.964.170,,,22270964170.0,,
Cá nhân 4,Cá nhân 4,Cá nhân 4,,,,,,
Khoản vay 1,Cá nhân 4 > Khoản vay 1,Khoản vay 1,7.000.000.000,Ngày 26 tháng 12 năm 2024,"6,0%",7000000000.0,,0.06
Khoản vay 2,Cá nhân 4 > Khoản vay 2,Khoản vay 2,5.000.000.000,Ngày 26 tháng 12 năm 2024,"6,0%",5000000000.0,,0.06
Khoản vay 3,Cá nhân 4 > Khoản vay 3,Khoản vay 3,2.500.000.000,Ngày 30 tháng 11 năm 2024,"6,0%",2500000000.0,,0.06
,,,14.500.000.000,,,14500000000.0,,
TỔNG CỘNG,Cá nhân 4 > TỔNG CỘNG,TỔNG CỘNG,106.289.212.750,,,106289212750.0,,
