row_label_raw,row_label_full,07.02. Bad debts,31/12/2024,31/12/2024_1,01/01/2024,01/01/2024_1,numeric__31/12/2024,numeric__31/12/2024_1,numeric__01/01/2024,numeric__01/01/2024_1
07.02. Bad debts,07.02. Bad debts,07.02. Bad debts,Original cost,Recoverable value,Original cost,Recoverable value,,,,
Pham Duy Khuong,Pham Duy Khuong,Pham Duy Khuong,"28,471,341,389",-,"28,471,341,389","3,114,530,588",,,,
Ecotourism villa area in District 9,Ecotourism villa area in District 9,Ecotourism villa area in District 9,"11,250,000,000",-,"11,250,000,000",-,,,,
Rubber Construction Investment Joint Stock Company,Rubber Construction Investment Joint Stock Company,Rubber Construction Investment Joint Stock Company,"14,852,000,000",-,"11,100,000,000",-,,,,
"Dong Bac Investment and Development Co., Ltd.","Dong Bac Investment and Development Co., Ltd.","Dong Bac Investment and Development Co., Ltd.","8,111,245,120",-,"9,378,293,541",-,,,,
Rubber Securities Joint Stock Company,Rubber Securities Joint Stock Company,Rubber Securities Joint Stock Company,"9,184,524,709",-,"9,184,524,709",-,,,,
Dong Thap Seafood Investment and Export Joint Stock Company,Dong Thap Seafood Investment and Export Joint Stock Company,Dong Thap Seafood Investment and Export Joint Stock Company,"8,956,471,270",-,"8,956,471,270",-,,,,
Rubber Construction Investment Joint Stock Company,Rubber Construction Investment Joint Stock Company,Rubber Construction Investment Joint Stock Company,"14,852,000,000",-,"8,752,000,000",-,,,,
"Huu Nghi Production, Trading, and Services Co., Ltd.","Huu Nghi Production, Trading, and Services Co., Ltd.","Huu Nghi Production, Trading, and Services Co., Ltd.","7,843,792,484",-,"7,843,792,484",-,,,,
Delta Securities Joint Stock Company,Delta Securities Joint Stock Company,Delta Securities Joint Stock Company,"19,984,360,000",-,"19,984,360,000",-,,,,
Uu Viet Paper Joint Stock Company,Uu Viet Paper Joint Stock Company,Uu Viet Paper Joint Stock Company,-,-,"7,320,890,684","2,008,572,684",,,,
Construction Materials and Building Assembly Company - Ministry of Trade,Construction Materials and Building Assembly Company - Ministry of Trade,Construction Materials and Building Assembly Company - Ministry of Trade,"5,007,361,732",-,"5,007,361,732",-,,,,
Duy Anh Trading and Transport One Member Limited Liability Company,Duy Anh Trading and Transport One Member Limited Liability Company,Duy Anh Trading and Transport One Member Limited Liability Company,"5,806,301,264","270,000,000","5,806,301,264","1,473,550,632",,,,
Tan Trung Thanh Connection Joint Stock Company,Tan Trung Thanh Connection Joint Stock Company,Tan Trung Thanh Connection Joint Stock Company,"4,262,586,793",-,"4,262,586,793",-,,,,
UPEXIM Wood Products Manufacturing and Export Joint Stock Company,UPEXIM Wood Products Manufacturing and Export Joint Stock Company,UPEXIM Wood Products Manufacturing and Export Joint Stock Company,-,-,"3,870,681,600",-,,,,
