row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,
Ông Nguyễn Hiền Ninh,Phải trả ngắn hạn khác > Ông Nguyễn Hiền Ninh,Ông Nguyễn Hiền Ninh,Thu hộ theo Hợp đồng ký quỹ cung cấp dịch vụ môi giới dự án,42.161.269.908,56.123.872.607,,42161269908.0,56123872607.0
Ông Trần Xuân Thông,Phải trả ngắn hạn khác > Ông Trần Xuân Thông,Ông Trần Xuân Thông,Thu hộ theo Hợp đồng ký quỹ cung cấp dịch vụ môi giới dự án,27.482.871.671,27.482.871.671,,27482871671.0,27482871671.0
Ông Trần Ngọc Thái,Phải trả ngắn hạn khác > Ông Trần Ngọc Thái,Ông Trần Ngọc Thái,Thu hộ theo Hợp đồng ký quỹ cung cấp dịch vụ môi giới dự án,17.813.874.652,20.043.874.652,,17813874652.0,20043874652.0
Đất Xanh Miền Nam,Phải trả ngắn hạn khác > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Vốn góp theo HĐHTKD,7.366.596.913,7.366.596.913,,7366596913.0,7366596913.0
Đất Xanh Miền Nam,Phải trả ngắn hạn khác > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Ký quỹ,7.250.000.000,69.700.000.000,,7250000000.0,69700000000.0
Đất Xanh Miền Nam,Phải trả ngắn hạn khác > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Khác,417.147.545,417.147.545,,417147545.0,417147545.0
Ông Trần Hoài Nam,Phải trả ngắn hạn khác > Ông Trần Hoài Nam,Ông Trần Hoài Nam,Thu hộ theo Hợp đồng ký quỹ cung cấp dịch vụ môi giới dự án,2.425.500.000,-,,2425500000.0,
Indochine,Phải trả ngắn hạn khác > Indochine,Indochine,Vốn góp theo HĐHTKD,2.038.780.132,-,,2038780132.0,
Indochine,Phải trả ngắn hạn khác > Indochine,Indochine,Ký quỹ,1.470.000.000,-,,1470000000.0,
Bên liên quan khác,Phải trả ngắn hạn khác > Bên liên quan khác,Bên liên quan khác,Khác,402.600.720,2.978.669.919,,402600720.0,2978669919.0
TỔNG CỘNG,Phải trả ngắn hạn khác > TỔNG CỘNG,TỔNG CỘNG,,108.828.641.541,184.113.033.307,,108828641541.0,184113033307.0
