row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,
Indochine,Phải thu ngắn hạn của khách hàng > Indochine,Indochine,Doanh thu từ HĐHTKD,3.011.786.958,-,,3011786958.0,
Đất Xanh Miền Nam,Phải thu ngắn hạn của khách hàng > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Cung cấp dịch vụ môi giới,588.189.809,711.787.433,,588189809.0,711787433.0
Ông Trần Hoài Nam,Phải thu ngắn hạn của khách hàng > Ông Trần Hoài Nam,Ông Trần Hoài Nam,Doanh thu từ cho thuê,135.000.000,-,,135000000.0,
Khác,Phải thu ngắn hạn của khách hàng > Khác,Khác,Khác,81.968.844,932.720.126,,81968844.0,932720126.0
TỔNG CỘNG,Phải thu ngắn hạn của khách hàng > TỔNG CỘNG,TỔNG CỘNG,,3.816.945.611,1.644.507.559,,3816945611.0,1644507559.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,
Cá nhân 3,Phải thu về cho vay ngắn hạn > Cá nhân 3,Cá nhân 3,Cho vay,30.000.000.000,-,,30000000000.0,
Đất Xanh Miền Nam,Phải thu về cho vay ngắn hạn > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Cho vay,15.931.175.222,13.931.175.222,,15931175222.0,13931175222.0
Lê Gia Newland,Phải thu về cho vay ngắn hạn > Lê Gia Newland,Lê Gia Newland,Cho vay,-,150.000.000,,,150000000.0
TỔNG CỘNG,Phải thu về cho vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,45.931.175.222,14.081.175.222,,45931175222.0,14081175222.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,
Ông Trần Hoài Nam,Trả trước cho người bán ngắn hạn > Ông Trần Hoài Nam,Ông Trần Hoài Nam,Trả trước tiền mua đất,90.440.887.879,-,,90440887879.0,
Ông Trần Ngọc Thành,Trả trước cho người bán ngắn hạn > Ông Trần Ngọc Thành,Ông Trần Ngọc Thành,Trả trước tiền mua đất,20.540.000.000,-,,20540000000.0,
Đất xanh Miền Nam,Trả trước cho người bán ngắn hạn > Đất xanh Miền Nam,Đất xanh Miền Nam,Phí dịch vụ,18.354.444.949,18.823.562.352,,18354444949.0,18823562352.0
Houzz Agent,Trả trước cho người bán ngắn hạn > Houzz Agent,Houzz Agent,Phí dịch vụ,15.000.000,-,,15000000.0,
TỔNG CỘNG,Trả trước cho người bán ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,129.350.332.828,18.823.562.352,,129350332828.0,18823562352.0
