row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),,,,
Công ty Cổ phầnChế biến Thức ănGia súc ĐôngGia Lai,Phải thu ngắn hạn của khách hàng (TM số 6) > Công ty Cổ phầnChế biến Thức ănGia súc ĐôngGia Lai,Công ty Cổ phầnChế biến Thức ănGia súc ĐôngGia Lai,Công ty có cùngthành viên quảnlý chủ chốt,Bán hàng hóavà cung cấpdịch vụ,477.906.173,53.347.003,,,477906173.0,53347003.0
Công ty TNHH MTVBao bì Linh Khang,Phải thu ngắn hạn của khách hàng (TM số 6) > Công ty TNHH MTVBao bì Linh Khang,Công ty TNHH MTVBao bì Linh Khang,Công ty liên quan,Bán hàng hóavà cung cấpdịch vụ,2.265.606,2.265.606,,,2265606.0,2265606.0
Công ty Cổ phầnGỗ Hoàng Anh GiaLai - CN Nhà MáyNhựa,Phải thu ngắn hạn của khách hàng (TM số 6) > Công ty Cổ phầnGỗ Hoàng Anh GiaLai - CN Nhà MáyNhựa,Công ty Cổ phầnGỗ Hoàng Anh GiaLai - CN Nhà MáyNhựa,Công ty liên quan,Bán hàng hóavà cung cấpdịch vụ,291.599,5.115.070,,,291599.0,5115070.0
Công ty Cổ phầnGỗ Hoàng AnhGia Lai,Phải thu ngắn hạn của khách hàng (TM số 6) > Công ty Cổ phầnGỗ Hoàng AnhGia Lai,Công ty Cổ phầnGỗ Hoàng AnhGia Lai,Công ty liên quan,Bán hàng hóavà cung cấpdịch vụ,521.053,449.761,,,521053.0,449761.0
Công ty TNHH Dịchvụ Nông nghiệpTây Nguyên,Phải thu ngắn hạn của khách hàng (TM số 6) > Công ty TNHH Dịchvụ Nông nghiệpTây Nguyên,Công ty TNHH Dịchvụ Nông nghiệpTây Nguyên,Công ty liên quan,Bán hàng hóavà cung cấpdịch vụ,-,35.866.935,,,,35866935.0
Công ty Cổ phầnGia súc Lơ Pang,Phải thu ngắn hạn của khách hàng (TM số 6) > Công ty Cổ phầnGia súc Lơ Pang,Công ty Cổ phầnGia súc Lơ Pang,Công ty liên quan(dến ngày 31tháng 3 năm2022),Bán hàng hóavà cung cấpdịch vụCung cấp dịchvụ xây dựngBán tài sảncó định,-,4.420.359,,,,4420359.0
Công ty Cổ phầnGia súc Lơ Pang,Phải thu ngắn hạn của khách hàng (TM số 6) > Công ty Cổ phầnGia súc Lơ Pang,Công ty Cổ phầnGia súc Lơ Pang,Công ty liên quan(dến ngày 31tháng 3 năm2022),Bán hàng hóavà cung cấpdịch vụCung cấp dịchvụ xây dựngBán tài sảncó định,-,3.764.302,,,,3764302.0
Công ty Cổ phầnGia súc Lơ Pang,Phải thu ngắn hạn của khách hàng (TM số 6) > Công ty Cổ phầnGia súc Lơ Pang,Công ty Cổ phầnGia súc Lơ Pang,Công ty liên quan(dến ngày 31tháng 3 năm2022),Bán hàng hóavà cung cấpdịch vụCung cấp dịchvụ xây dựngBán tài sảncó định,-,1.748.337,,,,1748337.0
Công ty TNHHTư vấn Đầu tư Xây dựng Thanh Bình,Phải thu ngắn hạn của khách hàng (TM số 6) > Công ty TNHHTư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHHTư vấn Đầu tư Xây dựng Thanh Bình,Công ty liên quan,Cung cấp dịchvụ xây dựng,-,27.595.944,,,,27595944.0
Công ty TNHHThương mại vàDịch vụ Minh Tuấn,Phải thu ngắn hạn của khách hàng (TM số 6) > Công ty TNHHThương mại vàDịch vụ Minh Tuấn,Công ty TNHHThương mại vàDịch vụ Minh Tuấn,Công ty liên quan,Cung cấp dịchvụ xây dựng,-,5.501.714,,,,5501714.0
,,,,,480.984.431,140.075.031,,,480984431.0,140075031.0
