row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),,,,
Công ty Cổ phầnLê Me,Phải thu dài hạn khác (TM số 9) > Công ty Cổ phầnLê Me,Công ty Cổ phầnLê Me,Công tyliên quan,HDHTKD Lãi cho vay,440.000.00027.303.606,440.000.00023.379.954,,,4.400000002730361e+16,4.400000002337995e+16
Ông Nguyễn Ngọc Mai,Phải thu dài hạn khác (TM số 9) > Ông Nguyễn Ngọc Mai,Ông Nguyễn Ngọc Mai,Giám đốc công ty con,Lãi cho vay,39.398.260,19.829.760,,,39398260.0,19829760.0
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Phải thu dài hạn khác (TM số 9) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty liên quan,Lãi cho vay,38.862.320,50.880.235,,,38862320.0,50880235.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu dài hạn khác (TM số 9) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con của Công ty có cùng thành viên HDQT,Lãi cho vay,10.342.357,10.021.989,,,10342357.0,10021989.0
Ông Lê Văn Thạch,Phải thu dài hạn khác (TM số 9) > Ông Lê Văn Thạch,Ông Lê Văn Thạch,Cổ đông,Lãi cho vay,15.698.411,15.805.440,,,15698411.0,15805440.0
Ông Trần Quang Dũng,Phải thu dài hạn khác (TM số 9) > Ông Trần Quang Dũng,Ông Trần Quang Dũng,Phó giám đốc công ty con,Lãi cho vay,6.257.627,3.321.960,,,6257627.0,3321960.0
Công ty TNHH CN&NN Cao su Hoàng Anh - Quang Minh,Phải thu dài hạn khác (TM số 9) > Công ty TNHH CN&NN Cao su Hoàng Anh - Quang Minh,Công ty TNHH CN&NN Cao su Hoàng Anh - Quang Minh,Công ty con của Công ty có cùng thành viên HDQT,Lãi cho vay,1.588.193,1.538.997,,,1588193.0,1538997.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải thu dài hạn khác (TM số 9) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Lãi cho vay,-,43.144.374,,,,43144374.0
Công ty Cổ phần Gia súc Lơ Pang,Phải thu dài hạn khác (TM số 9) > Công ty Cổ phần Gia súc Lơ Pang,Công ty Cổ phần Gia súc Lơ Pang,Công ty liên quan (đến ngày 31 tháng 3 năm 2022),Lãi cho vay,-,31.534.787,,,,31534787.0
